X,Y,OBJECTID,PROPERTY_UNIT_ID,STREET,UPDATE_DATE,X_COORD,Y_COORD,UNIT_TYPE,STATUS,ROADSEGMENTID,CIVIC_NO,UNIT,LATITUDE,LONGITUDE,PARCELID,WARD,POLL,ROLL_REFERENCE,GlobalID
-80.49609181,43.4643585,875655,2023469,MARGARET AVE,2023/11/25 08:42:07+00,540762.4101,4812505.483,VERTICAL UNIT,ACTIVE,11190,305,312,,,50062147,10,10,301201000825037,f4ffb6a6-2591-4e18-ba09-6768c298c39b
-80.49062425,43.45458712,875733,2041992,COLLEGE ST,2023/11/25 08:40:38+00,541211.328,4811422.989,VERTICAL UNIT,ACTIVE,6491,119,904,,,50000225,10,20,301202000309000,095e5fff-e76b-40de-91f2-173c756fee13
-80.47279459,43.45870593,875737,2002689,FREDERICK ST,2023/11/25 08:41:35+00,542650.943,4811889.388,VERTICAL UNIT,ACTIVE,9764,450,301,,,50000925,10,25,301202000207200,d18775ed-c9d7-4355-aee9-a291a29d39a4
-80.49609181,43.4643585,875742,2023532,MARGARET AVE,2023/11/25 08:40:19+00,540762.4101,4812505.483,VERTICAL UNIT,ACTIVE,11190,305,1408,,,50062147,10,10,301201000825173,766012fb-7814-4aa4-bce4-e4b19deaf8df
-80.49609181,43.4643585,875757,2001164,MARGARET AVE,2023/11/25 08:40:20+00,540762.4101,4812505.483,VERTICAL UNIT,ACTIVE,11190,305,907,,,50062147,10,10,301201000825116,202f389b-5933-4e5d-95f2-6f87b21eb9ea
-80.48464595,43.47101154,875761,2024254,LANCASTER ST W,2023/11/25 08:40:30+00,541683.717,4813250.019,VERTICAL UNIT,ACTIVE,10381,383,5,,,50004437,10,5,301201001310200,bd42b1cd-fcc9-4970-b982-cc17ace90b17
-80.4834177,43.45513117,875781,1020873,ELLEN ST E,2023/11/25 08:40:57+00,541794,4811487,VERTICAL UNIT,ACTIVE,11149,20,413,,,50000482,10,20,301202000612550,c9504129-c763-49ec-9f73-c5b45d701016
-80.4834177,43.45513117,875826,1020877,ELLEN ST E,2023/11/25 08:41:53+00,541794,4811487,VERTICAL UNIT,ACTIVE,11149,20,603,,,50000482,10,20,301202000612564,abac876f-2eaa-4075-ae30-664a25abb223
-80.47304802,43.4593207,875842,40259444,MANSION ST,2023/11/25 08:42:36+00,542630.009,4811957.533,VERTICAL UNIT,ACTIVE,15831,295,1,,,50037097,10,25,301202000707900,b3876996-7067-4494-a878-3d0b0bc9fab9
-80.48490919,43.44821576,875854,2010563,KING ST E,2023/11/25 08:41:38+00,541678.0804,4810718.246,VERTICAL UNIT,ACTIVE,6640,250,3,,,50023859,10,20,301203000101800,7112bb78-d0f7-4aba-816d-bcae217a54de
